Claim,Table,,,,,,,,,
claim_id,policy_num,claim_date,sanc_date,sanc_amount,cheque_no,reason,,,,
1000000032,Y2k7u2LfcdFu,,,,,,,,,
1000000031,YoJqDBn6L,,,,,,,,,
1000000035,YW494YQ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Customer, Policy, Table,,,,,,,,
Policy_num,Policy_id,Type,Registration_no,Sum_assured,,,,,,
1,1,home,2147483647,8175000,,,,,,
2,2,personal,2147483647,2500000,,,,,,
3,6,personal,2147483647,500000,,,,,,
4,4,farmer,2147483647,500000,,,,,,
5,4,farmer,2147483647,347000,,,,,,
6,4,farmer,2147483647,120000,,,,,,
7,5,travel,2147483647,475000,,,,,,
8,3,car,2147483647,347000,,,,,,
9,4,farmer,2147483647,85000,,,,,,
10,4,farmer,2147483647,188000,,,,,,
11,4,farmer,2147483647,142000,,,,,,
12,4,farmer,2147483647,44461,,,,,,
13,1,home,2147483647,5721705,,,,,,
14,1,home,2147483647,4401303,,,,,,
15,4,farmer,2147483647,74049,,,,,,
16,5,travel,2147483647,1566183,,,,,,
17,4,farmer,2147483647,92459,,,,,,
18,3,car,2147483647,833228,,,,,,
19,4,farmer,2147483647,62903,,,,,,
20,6,personal,2147483647,506469,,,,,,
21,5,travel,2147483647,2018749,,,,,,
22,2,personal,2147483647,700000,,,,,,
23,5,travel,2147483647,1500000,,,,,,
24,1,home,2147483647,7500000,,,,,,
25,1,home,2147483647,8475000,,,,,,
26,5,travel,2147483647,1757000,,,,,,
27,1,home,2147483647,8400000,,,,,,
28,2,personal,2147483647,200000,,,,,,
29,6,personal,2147483647,500000,,,,,,
30,3,car,2147483647,1000000,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Customer, Table,,,,,,,,,
Ssn,Fname,Minit,Lname,DOB,Income,Policy_num,Phone,Agent_id,Purchase_date,Claim_num
1000000031,Shaine,F,Plastow,04-08-1983,156700,11,2147483647,1000000011,17-08-2018,1
1000000032,Phillida,Q,Farland,12-06-1989,119400,5,2147483647,1000000018,19-01-2019,N
1000000033,Maximilian,H,Deniskevich,11-07-1969,148500,6,2147483647,1000000014,01-11-2018,N
1000000034,Rosalinda,R,Bloore,20-06-1986,137100,12,1675878478,1000000021,13-01-1999,2
1000000035,Gloriana,R,Gebhardt,17-03-1973,139200,14,2147483647,1000000020,03-10-2018,N
1000000036,Pierrette,P,Kilmary,31-08-1993,137700,18,2147483647,1000000016,05-06-2018,N
1000000037,Melisande,U,Lyptratt,06-07-1978,157700,13,2147483647,1000000011,09-10-2018,N
1000000038,Marty,C,Dalgliesh,27-03-1995,141100,21,2147483647,1000000017,26-03-2018,N
1000000039,Karin,M,Rothermel,05-05-1981,93300,15,2147483647,1000000029,09-08-2018,N
1000000040,Emmott,B,Dominicacci,10-12-1971,146500,22,2147483647,1000000010,01-09-2018,3
1000000041,Jarvis,Q,Muehler,10-01-1979,109200,27,2033931454,1000000006,10-08-2018,N
1000000042,Pamela,V,Castellani,16-06-1992,140900,10,2147483647,1000000009,22-08-2018,N
1000000043,Orson,I,Drewe,18-06-1965,86300,23,2096310563,1000000019,18-08-2018,4
1000000044,Marabel,A,MacRirie,30-12-1965,140000,4,2147483647,1000000011,23-11-2018,N
1000000045,Bobine,H,Purver,25-02-1971,132100,1,2147483647,1000000015,31-12-2018,N
1000000046,Edouard,Z,Thompson,19-11-1994,134100,16,1076465899,1000000025,27-11-2018,N
1000000047,Feliza,A,Kaplan,18-11-1964,150400,2,2147483647,1000000003,16-01-2019,N
1000000048,Regina,I,Alleyne,13-01-1968,115000,3,2147483647,1000000003,29-02-2016,N
1000000049,Winslow,K,Argente,28-11-1965,158200,8,2147483647,1000000014,29-06-2018,N
1000000050,Moises,Q,McGahern,02-01-1969,114600,17,2147483647,1000000004,05-04-2018,N
1000000051,Leah,S,Laterza,16-05-1965,119600,19,2147483647,1000000026,20-08-2018,2
1000000052,Alanna,A,Slater,20-03-1985,112100,20,1575107631,1000000029,16-10-2018,N
1000000053,Judah,X,Bruffell,27-08-1978,105900,24,1298822583,1000000012,05-12-2018,N
1000000054,Rancell,H,Rabb,07-10-1994,159400,25,2147483647,1000000021,20-12-2018,N
1000000055,Isac,S,Yacob,20-01-1981,118300,7,1095009928,1000000019,22-03-2018,N
1000000056,Addi,Y,McInnerny,16-02-1979,156700,26,2147483647,1000000002,21-10-2018,N
1000000057,Amil,V,Solly,07-03-1975,119900,28,2147483647,1000000011,28-03-2018,N
1000000058,Orton,M,Dimitrov,25-12-1991,116700,9,2147483647,1000000025,24-12-2017,N
1000000059,Ugo,Q,Toffanini,09-01-1995,104100,30,2147483647,1000000009,19-01-2019,N
1000000060,Oswell,T,Sango,14-04-1976,82000,29,2147483647,1000000023,23-11-2018,N
,,,,,,,,,,
,,,,,,,,,,
Payment, Table,,,,,,,,,
Payment_no,Ssn,Payment_data,Amount,policy_num,,,,,,
1,1000000031,08-09-2016,12589,1,,,,,,
2,1000000032,25-08-2016,8454,2,,,,,,
3,1000000033,18-12-2016,8998,3,,,,,,
4,1000000034,01-03-2016,6707,4,,,,,,
5,1000000035,22-12-2016,14123,5,,,,,,
6,1000000036,04-03-2016,7050,6,,,,,,
7,1000000037,20-09-2016,12509,7,,,,,,
8,1000000038,08-11-2016,14778,8,,,,,,
9,1000000039,19-05-2016,5246,9,,,,,,
10,1000000040,23-06-2016,5253,10,,,,,,
11,1000000041,06-12-2016,13728,11,,,,,,
12,1000000042,28-07-2016,13118,12,,,,,,
13,1000000043,05-07-2016,13241,13,,,,,,
14,1000000044,22-11-2016,7614,14,,,,,,
15,1000000045,31-01-2016,9923,15,,,,,,
16,1000000046,07-08-2016,11678,16,,,,,,
17,1000000047,14-01-2016,13419,17,,,,,,
18,1000000048,20-05-2016,6482,18,,,,,,
19,1000000049,01-03-2016,11443,19,,,,,,
20,1000000050,08-04-2016,11972,20,,,,,,
21,1000000051,10-09-2016,5413,21,,,,,,
22,1000000052,05-11-2016,6453,22,,,,,,
23,1000000053,29-02-2016,10491,23,,,,,,
24,1000000054,02-08-2016,11189,24,,,,,,
25,1000000055,10-04-2016,11630,25,,,,,,
26,1000000056,18-11-2016,11558,26,,,,,,
27,1000000057,21-11-2016,11166,27,,,,,,
28,1000000058,16-11-2016,12941,28,,,,,,
29,1000000059,11-11-2016,14241,29,,,,,,
30,1000000060,06-04-2016,9391,30,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Policy, Table,,,,,,,,,
Policy_id,Name,type,term_price,Term_period,Coverage,,,,,
1,home_pol,home,1000000,1,100000000,,,,,
2,health_ins,personal,100000,3,10000000,,,,,
3,car_pol,car,10000000,1,10000000,,,,,
4,crop_ins,farmer,500000,1,10000000,,,,,
5,trvl_ins,travel,500000,1,10000000,,,,,
6,life_ins,personal,1000000,60,10000000,,,,,
